ID,NAME,LAT,LON,FEDERAL_STATE,ADRESS,LINK,FREE/NOT FREE,LOCATION TYPE,INDOOR/OUTDOOR,ALL AUSTRIAN GROUPEMATCHES
132,Stadtpark Wilhelmsburg,48.09945524,15.6022752,NIEDEROESTERREICH,"Stadtpark 1, 3150 Wilhelmsburg",,FREE,PUBLIC SPACE,OUTDOOR,NO
133,Stadtwirt Wien,48.2072,16.3876,WIEN,"u. Viaduktgasse 45, 1030 Wien",https://stadtwirt.at,NOT FREE,RESTAURANT,INDOOR,NO
134,Stella am Naschmarkt,48.1987,16.3633,WIEN,"Naschmarkt 1, 1060 Wien",https://www.stella-lokal.at,NOT FREE,RESTAURANT,INDOOR,NO
135,Stieglerhaus,46.92930775,15.25578427,STEIERMARK,"St. Stefan ob Stainz 14, 8511 St. Stefan ob Stainz",https://stieglerhaus.at/,NOT FREE,BAR,INDOOR,NO
136,Strasser Bräu,48.1834,16.3302,WIEN,"Schönbrunner Str. 253, 1120 Wien",http://www.strasserbraeu.at/,NOT FREE,BAR,OUTDOOR,NO
137,Sunnockan | Gnas,46.90344139,15.76986619,STEIERMARK,"Wörth bei Gnas, 8342 Gnas",https://www.instagram.com/sunnockan/,NOT FREE,EVENT VENUE,OUTDOOR,NO
138,SV GW Zell am Pettenfirst,48.07879226,13.600716,OBEROESTERREICH,"Zell 45, 4842 Zell am Pettenfirst",,FREE,EVENT VENUE,OUTDOOR,NO
139,SV Marsch Neuberg,47.16986225,16.25811307,BURGENLAND,"Kirchenweg 8, 7537 Neuberg ",,FREE,EVENT VENUE,OUTDOOR,NO
140,Tante Kaethe,48.3163,14.2981,OBEROESTERREICH,"Strasserau 3, 4020 Linz",https://tante-kaethe.at/events/wm-public-viewing-2026/,FREE,RESTAURANT,OUTDOOR,YES
141,The Golden Harp Landstraße,48.2023,16.3962,WIEN,"Erdbergstraße 27, 1030 Wien",https://www.goldenharp1030.at,FREE,BAR,INDOOR,NO
142,Tinto Restaurant,48.2223,16.3522,WIEN,"Severingasse 5, 1090 Wien",https://www.tintowien.at/,NOT FREE,BAR,INDOOR,NO
143,TIROLER VERSICHERUNG,47.2658,11.3970,TIROL,"Wilhelm-Greil-Straße 10, 6020, Innsbruck",https://www.tiroler-versicherung.at/Meine-TIROLER/Mitgliedervorteile2/Mitgliedervorteile/Public-Viewing-Oesterreich-gegen-Argentinien,NOT FREE,OTHER,INDOOR,NO
